id,severity,category,file,symbol,evidence,proposed_action,risk,validation_command,status,rationale
"DCR-001","P0","dependency_scope","package.json","dependencies.preact","preact imports are in UI source/tests while published package serves dist","Move preact to devDependencies","medium","npm run build:ui && npm run pack:check","kept","Kept because root package install shape and worklab start/restart UI rebuild behavior are public operational surfaces"
"DCR-002","P1","duplicate_tooling","package.json","scripts.lint:boundaries","Script overlaps npm run lint under current baseline","Remove or redefine script","medium","npm run lint:boundaries","kept","Kept because package scripts are developer-facing interfaces and the repo already has baseline lint failures"
"DCR-003","P1","stale_script","scripts/guard-imports.sh","guard-imports.sh","Script behavior overlaps full ESLint config","Update comments or consolidate with lint","low","./scripts/guard-imports.sh && npm run lint","kept","Kept because changing validation scripts is not required for behavior-preserving product cleanup"
"DCR-004","P1","stale_script","package.json","scripts.test:e2e:ollama","Script name hides non-Ollama browser specs in playwright.config.js","Split or rename e2e scripts","medium","npm run build:ui && npx playwright test --config playwright.config.js src/__tests__/playwright/resource-overlay.spec.js","kept","Kept because e2e script naming is validation workflow design and not a low-risk code cleanup"
"DCR-005","P1","ineffective_config","scripts/guard-banned-tokens.sh","CI/script wiring","Guard claims CI/local pre-commit intent but is not wired in package scripts or release workflow","Add script wiring or remove CI claim","low","./scripts/guard-banned-tokens.sh","kept","Kept because wiring validation policy is outside this behavior-preserving cleanup batch"
"DCR-006","P3","release_config",".github/workflows/npm-release.yml","workspace package pack validation","Workspace packages are dry-run packed but not validated like root pack","Extend workspace package validation","medium","npm pack --workspace packages/agent-runtime --dry-run --json && npm pack --workspace packages/webhooks --dry-run --json","kept","P3 release/package contract surface requires explicit approval"
"AR-001","P1","duplicate_implementation","src/coordinator/task-watcher.js; src/core/run-input.js","hasOpenBlocker/latestPriorExecuteRunId","Watcher duplicates some DB lookup semantics","Share lookup helpers","medium","npx vitest run src/__tests__/coordinator/task-watcher.test.js src/__tests__/core/run-input.test.js","kept","Kept because coordinator lifecycle tests are red/flaky in baseline and this touches orchestration behavior"
"AR-004","P1","duplicate_implementation","packages/agent-runtime/src/ai/providers/claude-cli.js; packages/agent-runtime/src/ai/providers/codex-app.js; packages/agent-runtime/src/ai/providers/opencode-app.js","promptFromMessages","Three providers flatten messages similarly","Extract shared provider prompt helper","medium","npx vitest run src/__tests__/ai/cli-providers.test.js src/__tests__/ai/codex-app.test.js packages/agent-runtime/src/__tests__/ai/opencode-app.test.js","kept","Kept because provider prompt formatting is package behavior and runtime/provider tests showed current instability"
"AR-005","P1","duplicate_implementation","packages/agent-runtime/src/ai/providers/claude-sdk.js; packages/agent-runtime/src/ai/providers/claude-cli.js","stringifyError/humanizeSubtype","Claude providers duplicate error formatting helpers","Extract shared Claude error helpers","medium","npx vitest run src/__tests__/ai/claude-sdk.test.js src/__tests__/ai/cli-providers.test.js packages/agent-runtime/src/__tests__/ai/claude-cli-thinking.test.js","kept","Kept because provider error text is user-facing package behavior"
"AR-006","P1","duplicate_implementation","src/core/assistant/logging.js; src/integrations/slack/service.js","usageInt/usageNumber","Assistant and Slack logging duplicate usage coercion","Move usage coercion to shared helper","low","npx vitest run src/__tests__/api/routes-assistant.test.js src/__tests__/integrations/slack.test.js","kept","Kept to avoid expanding cleanup scope into assistant and Slack integration behavior"
"AR-007","P1","duplicate_implementation","src/api/routes/mentions.js; src/core/mentions/resolver.js","humanize","Mention search and resolver duplicate label humanization","Create shared mention label helper","medium","npx vitest run src/__tests__/api/routes-mentions.test.js src/__tests__/core/mentions.test.js","kept","Kept because mentions API route already has baseline lint boundary failures and is an API surface"
"AR-008","P1","duplicate_implementation","src/ui/src/routes/Projects.jsx; src/ui/src/routes/task-detail/format.js","projectRouteId","Both functions encode project slug/id the same way","Move to shared UI route helper","low","npx vitest run src/__tests__/ui/navigation.test.js src/__tests__/ui/app-shell-routes.test.js && npm run build:ui","kept","Kept because it is minor duplication and not needed for a low-risk accepted batch"
"AR-009","P1","duplicate_implementation","src/core/run-artifacts.js; src/ui/src/lib/fileEditDisplay.js","shortFilePath/fileEditKindLabel","UI duplicates some file-edit display helpers","Reuse core helpers through UI bridge","medium","npx vitest run src/__tests__/core/run-artifacts.test.js src/__tests__/ui/run-artifacts.test.js src/__tests__/ui/agent-event-timeline.test.js","kept","Kept because it crosses core/UI display boundaries and current UI stream tests are red"
"LOOP-001","P1","boundary_cleanup","src/api/routes/mentions.js; src/core/db/queries/mentions.js","mention search SQL","Baseline lint reported six direct db.prepare calls in the mentions API route","Move mention search SQL into dedicated core query helpers without changing SQL, ranking, or response shaping","low","npm run lint && npx vitest run src/__tests__/api/routes-mentions.test.js src/__tests__/core/mentions.test.js","resolved","API route now delegates the same SQL to named core query helpers"
"LOOP-002","P1","module_split","src/ui/src/routes/AgentEdit.jsx; src/ui/src/routes/agentEditHelpers.js","agent edit pure helpers","lint:size baseline showed AgentEdit.jsx over the 1200-line guard; model and memory helpers are pure and already covered by src/__tests__/ui/agent-memory.test.js","Move pure helpers to a route-local helper module while re-exporting them from AgentEdit.jsx","low","npm run lint:size && npx vitest run src/__tests__/ui/agent-memory.test.js && npm run build:ui","resolved","Preserves helper exports and component behavior while bringing AgentEdit.jsx under the size guard"
"LOOP-003","P1","module_split","src/coordinator/task-watcher.js; src/coordinator/watcher/review-subject.js","review subject run lookup","lint:size baseline showed task-watcher.js just over the 1200-line guard; review-subject lookup is private SQL plumbing with focused coordinator tests","Move unchanged review-subject lookup SQL into a watcher helper module","low","npm run lint:size && npx vitest run src/__tests__/coordinator/task-watcher-review.test.js src/__tests__/coordinator/coordinator-resume.test.js","resolved","Keeps state transitions untouched and brings task-watcher.js under the size guard"
"LOOP-004","P0","unused_export","src/core/db/queries/task-dependencies.js; src/core/db/queries/task-run-approvals.js; src/core/db/queries/tasks.js; src/core/db/queries/teams.js","unused private query helpers","Whole-repo rg counts showed each removed helper only at its own export definition; core/db/queries helpers are private and not re-exported from core/index.js","Remove unused private query helper exports","low","npm run lint && npx vitest run src/__tests__/core/db.test.js src/__tests__/api/routes-tasks.test.js src/__tests__/api/routes-teams.test.js src/__tests__/coordinator/task-watcher-review.test.js","resolved","No call sites remain; removal does not change runtime behavior"
"LOOP-005","P0","unused_export","src/cli/onboard.js; src/ui/src/lib/display.js; src/ui/src/lib/mobileViewport.js; src/ui/src/lib/pageVisibility.js; src/ui/src/lib/useGlobalShortcuts.js; src/ui/src/routes/settings/use-update-status.js","unused UI and CLI helpers","Whole-repo rg counts showed each removed export only at its own definition","Remove unused helper exports and the now-unused useState import","low","npm run lint && npx vitest run src/__tests__/ui/task-display.test.js src/__tests__/ui/mobile-viewport.test.js src/__tests__/ui/page-visibility.test.js src/__tests__/ui/settings.test.js src/__tests__/cli/onboard.test.js && npm run build:ui","resolved","No call sites remain; removal does not change runtime behavior"
"LOOP-006","P0","unused_export","src/core/ids.js; src/core/teams.js","unused core helpers","Whole-repo rg counts showed newAssistantThreadId and ensureAllTeamRootTasks only at their definitions","Remove unused private core helpers","low","npm run lint && npx vitest run src/__tests__/core/run-input.test.js src/__tests__/core/teams.test.js src/__tests__/api/routes-settings.test.js src/__tests__/api/routes-teams.test.js","resolved","Active planning policy and team-root paths remain covered; removed helpers had no call sites"
"LOOP-007","P0","unused_export","src/coordinator/event-loop-monitor.js; src/coordinator/watcher/delegation-handler.js; src/coordinator/watcher/final-text.js; src/core/agent-learning.js","local-only helper exports","Whole-repo rg counts showed each helper is used only inside its defining module","Remove export keywords while preserving local helper behavior","low","npm run lint && npx vitest run src/__tests__/coordinator/startup.test.js src/__tests__/coordinator/task-watcher-review.test.js src/__tests__/coordinator/watcher/delegation-allowlist.test.js src/__tests__/coordinator/task-watcher.test.js src/__tests__/core/agent-learning.test.js","resolved","Helpers remain in place for local callers; no external call sites existed"
"LOOP-008","P0","unused_export","src/core/browser-tool-policy.js; src/core/custom-pricing.js; src/core/providers.js; src/core/repository-instructions.js","local-only core exports","Whole-repo rg counts showed each helper/constant is used only inside its defining module","Remove export keywords while preserving local helper behavior","low","npm run lint && npx vitest run src/__tests__/core/run-input.test.js src/__tests__/core/providers.test.js src/__tests__/api/routes-providers.test.js src/__tests__/ai/cost.test.js","resolved","Exported caller APIs remain unchanged; internal helpers stay in place for local callers"
"LOOP-009","P0","unused_export","src/mcp/agent/tools/agents.js; src/mcp/agent/tools/kb.js; src/mcp/agent/tools/memory.js; src/mcp/agent/tools/tasks.js; src/mcp/agent/tools/todos.js; src/mcp/agent/tools/worktrees.js; src/mcp/shared/tool-registry.js","local-only MCP schemas and registry helpers","Whole-repo rg counts showed each schema/helper is used only inside its defining module","Remove export keywords while preserving local schema and handler behavior","low","npm run lint && npx vitest run src/__tests__/mcp/worklab-tools.test.js src/__tests__/mcp/worklab-tools-kb.test.js src/__tests__/mcp/admin-tools.test.js","resolved","Tool definitions and handlers remain exported; schemas/helpers stay in place for local parsers"
"LOOP-010","P0","unused_export","src/ui/src/lib/assistantKeyboardLift.js; src/ui/src/lib/assistantLayout.js","assistant keyboard rescue constants/helper; assistant mobile breakpoint","Whole-repo rg counts showed the rescue constants, rescue helper, and mobile breakpoint are used only inside their defining modules","Remove export keywords while preserving exported helper behavior","low","npm run lint && npx vitest run src/__tests__/ui/assistant-keyboard-lift.test.js src/__tests__/ui/assistant-layout.test.js && npm run build:ui","resolved","Dock-facing constants and tested layout helpers remain exported; local tuning constants stay in place"
"LOOP-011","P0","unused_export","src/ui/src/components/StatusMenu.jsx; src/ui/src/lib/entityBadges.js; src/ui/src/lib/runFormatting.js","local-only display helpers","Whole-repo rg counts showed allowedTransitions, ENTITY_BADGE_META, runDuration, and runTokenTotal are used only inside their defining modules","Remove export keywords while preserving component and helper behavior","low","npm run lint && npx vitest run src/__tests__/ui/run-formatting.test.js src/__tests__/ui/mentions-token.test.js src/__tests__/ui/primitives.test.js && npm run build:ui","resolved","Exported components and formatting helpers remain unchanged; internal display helpers stay local"
"LOOP-012","P0","unused_export","src/ui/src/lib/browserNotifications.js","local-only PWA notification helpers","Whole-repo rg counts showed pwaNotificationsSupported, requestAndEnablePwaNotifications, disablePwaNotifications, and claimNotificationEvent are used only inside browserNotifications.js","Remove export keywords while preserving high-level notification APIs","low","npm run lint && npx vitest run src/__tests__/ui/browser-notifications.test.js src/__tests__/ui/settings.test.js && npm run build:ui","resolved","Settings-facing notification functions remain exported; PWA internals stay local"
"LOOP-013","P0","unused_export","src/ui/src/lib/navigation.js","local-only navigation guard helpers","Whole-repo rg counts showed registerNavigationGuard and allowHashNavigationOnce are used only inside navigation.js","Remove export keywords while preserving exported navigation APIs","low","npm run lint && npx vitest run src/__tests__/ui/navigation.test.js src/__tests__/ui/app-shell-routes.test.js && npm run build:ui","resolved","Imported navigation APIs remain exported; guard registration and one-shot hash allowance stay local"
"LOOP-014","P0","unused_export","src/core/delegation.js","enabledDelegationAgents","Whole-repo rg counts showed enabledDelegationAgents is used only inside delegation.js","Remove export keyword while preserving buildDelegationContext behavior","low","npm run lint && npx vitest run src/__tests__/core/delegation.test.js src/__tests__/coordinator/delegation-context.test.js","resolved","Delegation context APIs remain exported; enabled-agent lookup stays local"
"LOOP-015","P0","unused_export","src/core/assistant/view-context.js","normalizeAssistantViewContext","Whole-repo rg counts showed normalizeAssistantViewContext is used only inside view-context.js","Remove export keyword while preserving renderAssistantViewContext behavior","low","npm run lint && npx vitest run src/__tests__/core/assistant-view-context.test.js","resolved","Assistant view-context renderer remains exported; input normalization stays local"
"LOOP-016","P0","dead_export","src/ui/src/lib/toast.js","toast","Import scan showed callers use pushToast and queue functions only; toast convenience object has no call sites","Remove unused toast convenience object","low","npm run lint && npx vitest run src/__tests__/ui/settings.test.js && npm run build:ui","resolved","Toast queue functions remain exported and unchanged"
"LOOP-017","P0","unused_export","src/ui/src/components/primitives/DatePicker.jsx","pad2; parseDateValue","Whole-repo rg counts showed pad2 and parseDateValue are used only inside DatePicker.jsx","Remove export keywords while preserving date picker and exported date conversion helpers","low","npm run lint && npx vitest run src/__tests__/ui/domain-inputs.test.js && npm run build:ui","resolved","DatePicker components and tested date conversion helpers remain exported"
"LOOP-018","P0","unused_export","src/ui/src/components/primitives/ScheduleBuilder.jsx; src/ui/src/components/primitives/index.js","defaultScheduleRunAt","Whole-repo rg showed defaultScheduleRunAt is used only inside ScheduleBuilder.jsx plus an unused barrel re-export","Internalize helper and remove stale barrel re-export","low","npm run lint && npx vitest run src/__tests__/ui/domain-inputs.test.js && npm run build:ui","resolved","ScheduleBuilder and tested trigger helpers remain exported"
"LOOP-019","P0","unused_export","src/ui/src/components/primitives/StageToken.jsx; src/ui/src/components/primitives/index.js","TASK_STAGE_META","Whole-repo rg showed TASK_STAGE_META is used only inside StageToken.jsx plus an unused barrel re-export","Internalize raw stage metadata and remove stale barrel re-export","low","npm run lint && npx vitest run src/__tests__/ui/stage-token.test.js src/__tests__/ui/design-system.test.js && npm run build:ui","resolved","StageToken and taskStageMeta remain exported"
"LOOP-020","P0","unused_export","src/ui/src/components/Icon.jsx","ICONS","Import scan showed no caller imports ICONS; iconSvgMarkup and Icon are the only exported icon APIs in use","Remove export keyword from raw icon table","low","npm run lint && npx vitest run src/__tests__/ui/design-system.test.js src/__tests__/ui/markdown.test.js && npm run build:ui","resolved","Icon and iconSvgMarkup remain exported and unchanged"
"LOOP-021","P0","unused_export","src/ui/src/components/LiveRunPanel.jsx; src/ui/src/routes/DesignSystem.jsx","RunTodoPanel","Whole-repo rg showed RunTodoPanel is only defined and rendered inside LiveRunPanel.jsx, with one design-system inventory string","Remove export keyword and stale design-system coverage entry while preserving LiveRunPanel rendering","low","npm run lint && npx vitest run src/__tests__/ui/live-run-panel.test.js src/__tests__/ui/design-system.test.js && npm run build:ui","resolved","LiveRunPanel and tested live-run state helpers remain exported; catalog still demonstrates todo panel through LiveRunPanel"
"LOOP-022","P0","unused_export","src/ui/src/lib/browserNotifications.js","local-only notification helpers","Whole-repo rg showed browserNotificationsSupported, browserNotificationPermission, setPwaNotificationsEnabled, notificationDiagnostics, and pwaNotificationSettings are used only inside browserNotifications.js","Remove export keywords while preserving settings-facing notification APIs","low","npm run lint && npx vitest run src/__tests__/ui/browser-notifications.test.js src/__tests__/ui/settings.test.js && npm run build:ui","resolved","High-level notification APIs and test-facing helpers remain exported"
"LOOP-023","P0","unused_export","src/ui/src/lib/projectTaskProgress.js","PROJECT_TASK_GROUPS; compareProjectTasks","Whole-repo rg showed PROJECT_TASK_GROUPS and compareProjectTasks are used only inside projectTaskProgress.js","Remove export keywords while preserving project progress helpers","low","npm run lint && npx vitest run src/__tests__/ui/project-task-progress.test.js && npm run build:ui","resolved","Project progress builder and tested helper APIs remain exported"
"LOOP-024","P0","unused_export","src/ui/src/lib/runFormatting.js","decisionTone","Whole-repo rg showed decisionTone is used only inside runFormatting.js","Remove export keyword while preserving run result preview behavior","low","npm run lint && npx vitest run src/__tests__/ui/run-formatting.test.js && npm run build:ui","resolved","Run formatting and preview APIs remain exported"
"LOOP-025","P0","unused_export","src/ui/src/lib/structuredValue.js","safeParseJson","Whole-repo rg showed safeParseJson is used only inside structuredValue.js","Remove export keyword while preserving structured parsing helpers","low","npm run lint && npx vitest run src/__tests__/ui/structured-value.test.js && npm run build:ui","resolved","Structured value parsing and preview APIs remain exported"
"LOOP-026","P0","unused_export","src/ui/src/routes/Commander.jsx","Commander timing constants","Whole-repo rg showed COMMANDER_COST_SUMMARY_INITIAL_DELAY_MS, COMMANDER_COST_SUMMARY_POLL_MS, and COMMANDER_RELOAD_THROTTLE_MS are used only inside Commander.jsx","Remove export keywords while preserving Commander polling and reload behavior","low","npm run lint && npx vitest run src/__tests__/ui/commander-grouping.test.js && npm run build:ui","resolved","Commander exported route and tested formatting helpers remain exported"
"LOOP-027","P0","unused_export","src/ui/src/routes/SkillEdit.jsx","SkillFileTree","Whole-repo rg showed SkillFileTree is only defined and rendered inside SkillEdit.jsx","Remove export keyword while preserving SkillEdit rendering","low","npm run lint && npx vitest run src/__tests__/ui/app-shell-routes.test.js src/__tests__/ui/create-entity-slugs.test.js && npm run build:ui","resolved","SkillEdit route export remains unchanged"
"LOOP-028","P0","unused_export","src/core/run-compactions.js","recordRunCompaction","Whole-repo rg showed recordRunCompaction is used only inside run-compactions.js by compactionRecorderFor","Remove export keyword while preserving compactionRecorderFor behavior","low","npm run lint && npx vitest run src/__tests__/core/run-log-compaction.test.js && npm run build:ui","resolved","Compaction recorder factory remains exported and persists the same records"
"LOOP-029","P0","unused_export","src/core/run-input.js","buildRuntimeDateContext; loadResolvedBlockerContext","Whole-repo rg showed both helpers are used only inside run-input.js by buildTaskRunInput","Remove export keywords while preserving run input assembly behavior","low","npm run lint && npx vitest run src/__tests__/core/run-input.test.js src/__tests__/core/agent-learning-run-input.test.js && npm run build:ui","resolved","Run input public builders remain exported and still use the same local helpers"
"LOOP-030","P0","unused_export","src/core/state-machine.js","shouldSkipParentReview","Whole-repo rg showed shouldSkipParentReview is used only inside state-machine.js by nextStage","Remove export keyword while preserving parent review transition behavior","low","npm run lint && npx vitest run src/__tests__/core/state-machine.test.js src/__tests__/core/state-machine-matrix.test.js src/__tests__/coordinator/task-watcher-review.test.js && npm run build:ui","resolved","State-machine public transition APIs remain exported and still call the same local helper"
"LOOP-031","P0","unused_export","src/core/teams.js","initialTeamGoalContract; normalizeTeamSlug","Whole-repo rg showed both helpers are used only inside teams.js by team goal/root helpers","Remove export keywords while preserving team creation and slug normalization behavior","low","npm run lint && npx vitest run src/__tests__/core/teams.test.js src/__tests__/api/routes-teams.test.js src/__tests__/core/goals-native.test.js && npm run build:ui","resolved","Team public APIs remain exported and still call the same local helpers"
"LOOP-032","P0","unused_export","src/core/update-check.js","registryLatestUrl; fetchLatestPackage; resolveNpmCliPath","Whole-repo rg showed these update-check helpers are used only inside update-check.js","Remove export keywords while preserving public update status APIs","low","npm run lint && npx vitest run src/__tests__/core/update-check.test.js src/__tests__/cli/update.test.js && npm run build:ui","resolved","Update status and install-mode APIs remain exported and still call the same local helpers"
"LOOP-033","P0","unused_export","src/core/verification-adjudicator.js","resolveVerificationAdjudicatorTarget","Whole-repo rg showed resolveVerificationAdjudicatorTarget is used only inside verification-adjudicator.js by runVerificationAdjudicator","Remove export keyword while preserving adjudicator target resolution behavior","low","npm run lint && npx vitest run src/__tests__/api/routes-providers.test.js && npm run build:ui","resolved","Verification adjudicator public runner remains exported and still calls the same local target resolver"
"LOOP-034","P0","unused_export","src/cli/service-drain.js","coordinatorPidFile","Whole-repo rg showed coordinatorPidFile is used only inside service-drain.js by gracefulStopCoordinator","Remove export keyword while preserving coordinator drain behavior","low","npm run lint && npx vitest run src/__tests__/cli/service-drain.test.js src/__tests__/cli/start-health.test.js && npm run build:ui","resolved","Service drain public helpers remain exported and still call the same local PID file helper"
"LOOP-035","P0","unused_export","src/cli/start.js","buildUi","Whole-repo rg showed buildUi is used only inside start.js as ensureUiReady's default build implementation","Remove export keyword while preserving start/restart UI build behavior","low","npm run lint && npx vitest run src/__tests__/cli/package-mode.test.js src/__tests__/cli/start-health.test.js && npm run build:ui","resolved","Start CLI public helpers remain exported and ensureUiReady still uses the same local build implementation"
"LOOP-036","P0","unused_export","src/cli/auth.js","parseAuthArgs","Whole-repo rg showed parseAuthArgs is used only inside auth.js by authCli","Remove export keyword while preserving auth CLI argument parsing behavior","low","npm run lint && npx vitest run src/__tests__/cli/auth.test.js && npm run build:ui","resolved","Auth CLI entrypoint remains exported and still calls the same local parser"
"LOOP-037","P0","unused_export","src/cli/install-service.js","renderServiceFile","Whole-repo rg showed renderServiceFile is used only inside install-service.js by installService --print","Remove export keyword while preserving service file rendering behavior","low","npm run lint && npx vitest run src/__tests__/cli/install-service.test.js src/__tests__/cli/backup-service.test.js && npm run build:ui","resolved","Install-service public entrypoints and service rendering helpers remain exported"
"LOOP-038","P0","unused_export","src/core/worklab-result/contract.js","subtaskSchema; pendingQuestionSchema; PARENT_REVIEW_POLICY_VALUES; worklabResultSchema","Whole-repo rg showed these raw schema builders are used only inside contract.js","Remove export keywords while preserving exported Worklab result contract APIs","low","npm run lint && npx vitest run src/__tests__/core/worklab-result/contract.test.js src/__tests__/worker/task-runner.test.js src/__tests__/worker/review-runner.test.js && npm run build:ui","resolved","Worklab result JSON schema, extraction, normalization, and synthesis APIs remain exported"
"LOOP-039","P0","unused_export","src/core/worklab-result/contract.js","MEMORY_CANDIDATE_KINDS; MEMORY_CANDIDATE_SCOPES; VERIFICATION_EVIDENCE_KINDS","Whole-repo rg showed these enum constants are used only inside contract.js to build schemas","Remove export keywords while preserving generated Worklab result JSON schema","low","npm run lint && npx vitest run src/__tests__/core/worklab-result/contract.test.js src/__tests__/worker/task-runner.test.js src/__tests__/worker/review-runner.test.js && npm run build:ui","resolved","Exported Worklab result JSON schema and parser APIs remain unchanged"
"LOOP-040","P0","unused_export","src/core/worklab-result/contract.js","recoverStructuredWorklabResult; parseStandaloneWorklabResultText","Whole-repo rg showed these helpers are used only inside contract.js by exported extraction/strip APIs","Remove export keywords while preserving Worklab result extraction and stripping behavior","low","npm run lint && npx vitest run src/__tests__/core/worklab-result/contract.test.js src/__tests__/worker/task-runner.test.js src/__tests__/worker/review-runner.test.js && npm run build:ui","resolved","Worklab result extraction and text-stripping APIs remain exported and still call the same local helpers"
"LOOP-041","P0","unused_export","src/core/worklab-result/lead-cycle-contract.js","leadTaskCreationSchema; leadAdvisoryNoteSchema; leadTaskAssignmentSchema; leadTaskDeletionSchema; leadGoalRefinementPatchSchema; leadGoalRefinementSchema; leadCycleResultSchema","Whole-repo rg showed these raw lead-cycle schema builders are used only inside lead-cycle-contract.js","Remove export keywords while preserving exported lead-cycle contract APIs","low","npm run lint && npx vitest run src/__tests__/core/worklab-result/lead-cycle-contract.test.js src/__tests__/coordinator/consolidation-cron.test.js && npm run build:ui","resolved","Lead-cycle JSON schema, parser, normalization, and synthesis APIs remain exported"
"LOOP-042","P0","unused_export","src/core/worklab-result/lead-cycle-contract.js","LEAD_CYCLE_MAX_TASK_CREATIONS","Whole-repo rg showed LEAD_CYCLE_MAX_TASK_CREATIONS is used only inside lead-cycle-contract.js for normalization limits","Remove export keyword while preserving the same lead-cycle task creation cap","low","npm run lint && npx vitest run src/__tests__/core/worklab-result/lead-cycle-contract.test.js src/__tests__/coordinator/consolidation-cron.test.js && npm run build:ui","resolved","Lead-cycle normalization APIs remain exported and enforce the same task creation cap"
"LOOP-043","P0","unused_export","src/core/worklab-result/lead-cycle-contract.js","LEAD_GOAL_STATUSES; LEAD_TASK_PRIORITIES; LEAD_NOTE_KINDS; LEAD_REVIEW_AFTER_EVENTS; LEAD_GOAL_REFINEMENT_MODES; LEAD_GOAL_REFINEMENT_CONFIDENCES","Whole-repo rg showed these lead-cycle enum arrays are used only inside lead-cycle-contract.js to build schemas","Remove export keywords while preserving generated lead-cycle JSON schema","low","npm run lint && npx vitest run src/__tests__/core/worklab-result/lead-cycle-contract.test.js src/__tests__/coordinator/consolidation-cron.test.js && npm run build:ui","resolved","Lead-cycle JSON schema and parser APIs remain exported and unchanged"
"LOOP-044","P0","unused_export","src/integrations/slack/triage-result.js","triageResultSchema","Whole-repo rg showed triageResultSchema is used only inside triage-result.js by parseTriageResult","Remove export keyword while preserving Slack triage parsing behavior","low","npm run lint && npx vitest run src/__tests__/integrations/slack.test.js && npm run build:ui","resolved","Slack triage JSON schema and parser APIs remain exported"
"LOOP-045","P0","unused_export","src/integrations/push/service.js","WorklabPushNotificationService","Whole-repo rg showed WorklabPushNotificationService is only constructed by createWorklabPushNotificationService inside service.js","Remove export keyword while preserving push notification factory behavior","low","npm run lint && npx vitest run src/__tests__/integrations/push.test.js src/__tests__/coordinator/startup.test.js && npm run build:ui","resolved","Push notification factory remains exported and constructs the same service class"
